title,release_date,id,imdb_id
The Lost City,2022-03-24,752623,tt13320622
Beast,2022-08-11,760741,tt13223398
Wish Dragon,2021-01-15,550205,tt5562070
Cocaine Bear,2023-02-22,804150,tt14209916
Nobody,2021-03-18,615457,tt7888964
Dragon Ball Super: Super Hero,2022-06-11,610150,tt14614892
In the Land of Saints and Sinners,2023-10-06,1027073,tt15782690
Don't Look Up,2021-12-08,646380,tt11286314
Jeepers Creepers: Reborn,2022-09-15,717728,tt14121726
The Accursed,2021-11-12,860867,tt5737388
Die Hart,2023-02-22,1077280,tt27116016
Vanished into the Night,2024-07-10,1039868,tt14034294
M3GAN,2022-12-28,536554,tt8760708
Red Right Hand,2024-02-22,1227816,tt19244260
Concrete Utopia,2023-08-09,729854,tt13086266
Guillermo del Toro's Pinocchio,2022-11-09,555604,tt1488589
Cheaper by the Dozen,2022-03-18,691683,tt6705162
The Whale,2022-12-09,785084,tt13833688
The Killer,2023-10-25,800158,tt1136617
TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,1160164,tt28814949
Roald Dahl's Matilda the Musical,2022-11-25,668482,tt3447590
Jungle Cruise,2021-07-28,451048,tt0870154
57 Seconds,2023-09-29,937249,tt18083578
The Sea Beast,2022-06-24,560057,tt9288046
The Sadness,2021-01-22,776797,tt13872248
Pet Sematary: Bloodlines,2023-09-23,830764,tt14145436
All the Names of God,2023-09-15,1053592,tt20420538
Spaceman,2024-02-23,636706,tt11097384
Army of Thieves,2021-10-29,796499,tt13024674
R.I.P.D. 2: Rise of the Damned,2022-11-15,1013860,tt21094994
Cobweb,2023-07-19,709631,tt9100018
3 Days Max,2023-10-25,967582,tt27712015
Dream Scenario,2023-11-10,823482,tt21942866
Texas Chainsaw Massacre,2022-02-18,632727,tt11755740
The Unholy,2021-03-31,632357,tt9419056
Disenchanted,2022-11-18,338958,tt1596342
Good Boy,2022-06-03,983507,tt19705884
Death on the Nile,2022-02-09,505026,tt7657566
The Menu,2022-11-17,593643,tt9764362
Hachiko,2023-03-31,1107387,tt23789884
The Fallout,2021-03-17,795514,tt11847410
The Seven Deadly Sins: Grudge of Edinburgh Part 2,2023-08-08,1064835,tt25010142
Prey for the Devil,2022-10-23,676547,tt9271672
The Mitchells vs. the Machines,2021-04-22,501929,tt7979580
Love at First Sight,2023-09-15,353577,tt2183014
One More Shot,2024-01-09,1214314,tt27110516
The Adam Project,2022-03-11,696806,tt2463208
Ordinary Angels,2024-02-22,974036,tt4996328
Ballerina,2023-10-05,961268,tt26350277
Elvis,2022-06-22,614934,tt3704428
Nope,2022-07-20,762504,tt10954984
Fast Charlie,2023-12-08,945937,tt6722400
Megaboa,2021-11-26,920081,tt16444610
Priscilla,2023-10-27,1020006,tt22041854
My Hero Academia: World Heroes' Mission,2021-08-06,768744,tt13544716
A Haunting in Venice,2023-09-13,945729,tt22687790
The Contractor,2022-03-10,628900,tt10323676
Dumb Money,2023-09-15,792293,tt13957560
The Addams Family 2,2021-10-01,639721,tt11125620
The Killer,2022-07-13,938008,tt19713090
The Last Kingdom: Seven Kings Must Die,2023-04-14,948713,tt15767808
The Other Zoey,2023-10-19,912916,tt11951276
The Woman King,2022-09-16,724495,tt8093700
La Leyenda de los Chaneques,2023-07-14,1150394,tt28283972
Purple Hearts,2022-07-29,762975,tt4614584
Tetris,2023-03-15,726759,tt12758060
Irish Wish,2024-03-14,1019420,tt21957774
Jeanne du Barry,2023-05-16,921452,tt17277414
The Animal Kingdom,2023-10-04,943134,tt16606592
There's Still Tomorrow,2023-10-26,1026227,tt21800162
How to Have Sex,2023-11-02,1075175,tt22890246
Unfrosted,2024-04-30,844185,tt14914430
Burning Betrayal,2023-10-25,1173558,tt26787296
Project 'Gemini',2022-01-06,575322,tt5656994
Force of Nature: The Dry 2,2024-02-08,832262,tt20256448
Murder Mystery 2,2023-03-28,638974,tt15255288
Merry Little Batman,2023-12-08,870358,tt15352516
Back to Black,2024-04-11,998846,tt21261712
Inheritance,2024-06-19,1279433,tt32245043
The Gray Man,2022-07-13,725201,tt1649418
Peter Rabbit 2: The Runaway,2021-03-25,522478,tt8376234
Flamin' Hot,2023-03-11,626332,tt8105234
Shotgun Wedding,2022-12-28,758009,tt9686790
Dog,2022-02-17,626735,tt11252248
Wicked Little Letters,2024-02-23,975773,tt20234774
Nimona,2023-06-23,961323,tt19500164
Haunted Mansion,2023-07-26,616747,tt1695843
Don't Worry Darling,2022-09-21,619730,tt10731256
"Tad, the Lost Explorer and the Emerald Tablet",2022-08-24,676701,tt14941698
Samaritan,2022-08-25,629176,tt5500218
Earwig and the Witch,2021-02-03,683127,tt12441478
Radical,2023-10-19,1058694,tt14570440
The Northman,2022-04-07,639933,tt11138512
Hypnotic,2023-05-11,536437,tt8080204
Werewolf by Night,2022-09-25,894205,tt15318872
The Flood,2023-07-14,1006462,tt15670222
Stopmotion,2024-02-22,840889,tt14852624
The Burial,2023-10-06,763165,tt5648882
House of Gucci,2021-11-24,644495,tt11214590
Rurouni Kenshin: The Final,2021-04-23,602063,tt11809034
Drive-Away Dolls,2024-02-22,957304,tt19356262
Lightyear,2022-06-15,718789,tt10298810
Perfect Addiction,2023-02-16,845659,tt12965390
The Wrath of Becky,2023-05-26,986070,tt20916568
Ferrari,2023-12-14,365620,tt3758542
Warhorse One,2023-06-30,1076487,tt16527824
First Love,2022-06-17,834742,tt14726510
Watcher,2022-06-03,807356,tt12004038
Blade of the 47 Ronin,2022-10-25,732459,tt12610794
Mummies,2023-01-05,816904,tt23177868
Where the Crawdads Sing,2022-07-14,682507,tt9411972
The Three Musketeers: D'Artagnan,2023-04-05,796185,tt12672536
Secret Headquarters,2022-08-12,791155,tt14001894
Mortal Kombat Legends: Battle of the Realms,2021-08-30,841755,tt14901058
Winnie the Pooh: Blood and Honey,2023-01-26,980078,tt19623240
Mira,2022-12-22,864101,tt15296186
Halloween Kills,2021-10-14,610253,tt10665338
Blacklight,2022-02-10,823625,tt14060094
Missing,2023-01-19,768362,tt10855768
Upon the Magic Roads,2021-02-18,576784,tt11390180
I.S.S.,2024-01-19,790462,tt13655120
Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,283566,tt2458948
On the Wandering Paths,2023-03-22,888082,tt15441522
Blame the Game,2024-07-03,1172648,tt28301898
Knock at the Cabin,2023-02-01,631842,tt15679400
Barbarian,2022-09-08,913290,tt15791034
Ambulance,2022-03-16,763285,tt4998632
Peter Pan & Wendy,2023-04-20,420808,tt5635026
Chernobyl: Abyss,2021-04-15,589761,tt10648714
Clifford the Big Red Dog,2021-11-10,585245,tt2397461
K.G.F: Chapter 2,2022-04-14,587412,tt10698680
The Kissing Booth 3,2021-08-11,727745,tt12783454
All of Us Strangers,2023-12-22,994108,tt21192142
The Banshees of Inisherin,2022-10-20,674324,tt11813216
Ron's Gone Wrong,2021-10-14,482321,tt7504818
Finestkind,2023-09-08,507532,tt7991508
Space Sweepers,2021-02-05,581389,tt12838766
The Monkey King,2023-08-11,832502,tt8637498
DC League of Super-Pets,2022-07-27,539681,tt8912936
Seoul Vibe,2022-08-26,773867,tt13611770
Rurouni Kenshin: The Beginning,2021-06-04,672322,tt11991748
Belle,2021-07-16,776305,tt13651628
"The Boy, the Mole, the Fox and the Horse",2022-12-25,995133,tt22667880
Triangle of Sadness,2022-09-18,497828,tt7322224
The Black Demon,2023-04-26,890771,tt10279472
The Abyss,2023-09-15,1053544,tt22016156
Knox Goes Away,2024-03-15,972614,tt20115766
The Guardians of the Galaxy Holiday Special,2022-11-24,774752,tt13623136
Lisa Frankenstein,2024-02-07,993784,tt21188080
The Mother,2023-05-04,552688,tt6968614
Old,2021-07-21,631843,tt10954652
Kingdom: Ashin of the North,2021-07-23,845222,tt13412252
Warriors of Future,2022-08-05,518896,tt7375466
The Hill,2023-08-18,862557,tt8051894
Big George Foreman,2023-04-27,878361,tt12226632
Amsterdam,2022-09-27,664469,tt10304142
Io Capitano,2023-09-07,937746,tt14225838
The Bad Guys: A Very Bad Holiday,2023-11-29,1046032,tt28863512
Sleep,2023-09-06,964592,tt8209702
Asteroid City,2023-06-08,747188,tt14230388
Last Seen Alive,2022-05-12,961484,tt10242388
The Misfits,2021-06-03,581644,tt4876134
Enola Holmes 2,2022-11-30,829280,tt14641788
Pinocchio,2022-09-07,532639,tt4593060
Shark Bait,2022-05-13,960258,tt12550376
Mortal Kombat Legends: Cage Match,2023-10-17,1034062,tt22698070
How to Date Billy Walsh,2024-04-04,1017633,tt16156616
The Ritual Killer,2023-03-09,862552,tt13141250
Hustle,2022-06-03,705861,tt8009428
Malignant,2021-09-01,619778,tt3811906
Joy Ride,2023-06-22,864168,tt15268244
Dampyr,2022-10-28,644124,tt10315050
The Last Duel,2021-10-13,617653,tt4244994
